LHH.IDN,LHH.KUT,LHH.MES,LHH.VER,LHH.PUB,LHH.ACT,LHH.FST,LHH.INFO,LHH.UPS,LHH.UPD,LHH.UID,LHH.FVL,LHH.FVA,LHH.FSP,LHH.MRK,LHH.UUD,LHH.UVD,LHH.FIMP,LHH.C1,LHH.LX1,LHH.LX3,LHH.FRC,LHH.FVLD,LHH.FQLD,LHH.NVER,LHH.KAMT
001E,0508A9,201711,1,0,0,C,Importazione Telelettura,Bisuca,201712040944,201712040823,N,N,V,R,NULL,NULL,R,3013.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201711,2,1,1,C,Versione Ricostruita 2,Bisuca,201712051459,201712051459,V,P,E,NULL,NULL,201712051500,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,0508A9,201712,1,0,0,C,Importazione Telelettura,Bisuca,201801041348,201801041032,N,I,V,NULL,NULL,NULL,R,154.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201712,2,0,0,C,Versione Ricostruita 2,Bisuca,201801041505,201801041505,N,P,P,NULL,NULL,NULL,NULL,2981.00000000001,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201712,3,1,1,C,Importazione Telelettura,Poirio,201801051351,201801051329,V,P,E,NULL,NULL,201801080827,R,2980.38000000001,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201801,1,1,1,C,Importazione Telelettura,Poirio,201802050958,201802050837,V,P,E,NULL,NULL,201802051051,R,2654.84,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201802,1,1,1,C,Importazione Telelettura,Bisuca,201803050928,201803050748,V,P,E,NULL,NULL,201803050942,R,1995.96,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201803,1,0,0,C,Importazione Telelettura,Poirio,201804041626,201804041526,N,N,V,,NULL,NULL,R,1946.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201803,2,1,1,C,Versione Ricostruita 2,Bisuca,201804051104,201804051104,V,P,E,NULL,NULL,201804051207,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,0508A9,201804,1,1,1,C,Importazione Telelettura,Bisuca,201805070809,201805070806,V,P,E,NULL,NULL,201805070813,R,5330.21999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201805,1,1,1,C,Importazione Telelettura,Poirio,201806061223,201806041351,V,P,E,NULL,NULL,201806061421,R,5410.92,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201806,1,0,0,C,Importazione Telelettura,Bisuca,201807050810,201807050744,N,I,V,NULL,NULL,NULL,R,400.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201806,2,1,0,C,Versione Ricostruita 2,Bisuca,201807050854,201807050854,V,P,E,NULL,NULL,201807060744,NULL,6351,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,0508A9,201806,3,1,1,C,Importazione Telelettura,Bisuca,201807090820,201807090817,V,P,E,NULL,NULL,201807090820,R,6350.82000000001,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201807,1,1,1,C,Importazione Telelettura,Bisuca,201808060752,201808060742,V,P,E,NULL,NULL,201808060801,R,7589.54,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201808,1,0,0,C,Importazione Telelettura,Bisuca,201809040759,201809031614,N,I,V,NULL,NULL,NULL,R,8487.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201808,2,1,1,C,Versione Ricostruita 2,Bisuca,201809040927,201809040927,V,P,E,NULL,NULL,201809040947,NULL,8487.36,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,0508A9,201809,1,0,0,C,Importazione Telelettura,Bisuca,201810040916,201810040909,N,I,V,NULL,NULL,NULL,R,230.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201809,2,1,1,C,Versione Ricostruita 2,Bisuca,201810041125,201810041125,V,P,E,NULL,NULL,201810050937,NULL,6254,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,0508A9,201810,1,1,1,C,Importazione Telelettura,Bisuca,201811051650,201811051453,V,P,E,NULL,NULL,201811060730,R,3952.68,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201811,1,1,1,C,Importazione Telelettura,Bisuca,201812050924,201812050733,V,P,E,NULL,NULL,201812051140,R,2075.62,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201812,1,1,1,C,Importazione Telelettura,Bisuca,201901030941,201901030730,V,P,E,NULL,NULL,201901031003,R,2308.66,NULL,NULL,NULL,NULL,E,NULL,NULL
