LHO.IDN,LHO.KUT,LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
001E,055F63,2018060217,1700,4.6,0.06,4.72,E,1,H,80,V,1,59,1,58,55,0,1,58,0,0,0,0,0,0,0,0,2018060223
001E,055F63,2018060218,1800,4.62,0.08,4.72,E,1,H,80,V,0,55,1,58,59,2,1,59,0,0,0,0,0,0,0,0,2018060300
001E,055F63,2018060219,1900,4.56,0.04,4.64,E,1,H,80,V,0,56,1,57,58,1,0,57,0,0,0,0,0,0,0,0,2018060301
001E,055F63,2018060220,2000,4.58,0.06,4.64,E,1,H,80,V,1,58,0,55,58,1,1,58,0,0,0,0,0,0,0,0,2018060302
001E,055F63,2018060221,2100,4.58,0.18,4.72,E,1,H,80,V,0,57,1,57,56,1,7,59,0,0,0,0,0,0,0,0,2018060303
001E,055F63,2018060222,2200,6.3,2,6.4,E,1,H,80,V,24,78,27,80,80,26,23,77,0,0,0,0,0,0,0,0,2018060304
001E,055F63,2018060223,2300,6.24,1.88,6.4,E,1,H,80,V,22,80,24,78,76,24,24,78,0,0,0,0,0,0,0,0,2018060305
001E,055F63,2018060224,2400,6.32,2.02,6.48,E,1,H,80,V,26,79,24,78,78,24,27,81,0,0,0,0,0,0,0,0,2018060306
001E,055F63,2018060301,0100,6.22,2.04,6.32,E,1,H,80,V,24,77,27,79,78,25,26,77,0,0,0,0,0,0,0,0,2018060307
001E,055F63,2018060302,0200,6.3,2.12,6.48,E,1,H,80,V,25,77,25,76,81,29,27,81,0,0,0,0,0,0,0,0,2018060308
001E,055F63,2018060303,0300,6.28,2.2,6.4,E,1,H,80,V,28,79,25,77,80,29,28,78,0,0,0,0,0,0,0,0,2018060309
001E,055F63,2018060304,0400,6.24,2.14,6.4,E,1,H,80,V,29,80,26,77,77,24,28,78,0,0,0,0,0,0,0,0,2018060310
001E,055F63,2018060305,0500,6.22,2.08,6.4,E,1,H,80,V,27,80,26,75,78,25,26,78,0,0,0,0,0,0,0,0,2018060311
001E,055F63,2018060306,0600,5.2,1.08,6.24,E,1,H,80,V,0,53,27,78,78,27,0,51,0,0,0,0,0,0,0,0,2018060312
001E,055F63,2018060307,0700,4.44,0.02,4.64,E,1,H,80,V,0,55,1,55,58,0,0,54,0,0,0,0,0,0,0,0,2018060313
001E,055F63,2018060308,0800,4.48,0.04,4.72,E,1,H,80,V,1,56,1,59,53,0,0,56,0,0,0,0,0,0,0,0,2018060314
001E,055F63,2018060309,0900,4.46,0.08,4.56,E,1,H,80,V,1,55,0,54,57,2,1,57,0,0,0,0,0,0,0,0,2018060315
001E,055F63,2018060310,1000,4.56,0.04,4.72,E,1,H,80,V,1,57,0,56,59,1,0,56,0,0,0,0,0,0,0,0,2018060316
001E,055F63,2018060311,1100,4.58,0.06,4.64,E,1,H,80,V,1,58,0,57,56,1,1,58,0,0,0,0,0,0,0,0,2018060317
001E,055F63,2018060312,1200,4.54,0.04,4.72,E,1,H,80,V,1,59,0,55,55,0,1,58,0,0,0,0,0,0,0,0,2018060318
001E,055F63,2018060313,1300,4.58,0.06,4.96,E,1,H,80,V,0,53,2,62,58,1,0,56,0,0,0,0,0,0,0,0,2018060319
001E,055F63,2018060314,1400,4.72,0.12,4.88,E,1,H,80,V,1,59,0,57,61,3,2,59,0,0,0,0,0,0,0,0,2018060320
001E,055F63,2018060315,1500,4.6,0.08,4.88,E,1,H,80,V,2,61,0,56,56,1,1,57,0,0,0,0,0,0,0,0,2018060321
