LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
2016042611,1100,0.2,1.04,0.72,E,1,H,80,V,9,1,43,9,0,0,0,0,0,0,0,0,0,0,0,0,2016042617
2016042612,1200,2.12,1.8,3.52,E,1,H,80,V,11,16,30,28,18,19,30,44,0,0,0,0,0,0,0,0,2016042618
2016042613,1300,2.36,1.96,4.88,E,1,H,80,V,32,29,18,13,15,21,27,61,0,0,0,0,0,0,0,0,2016042619
2016042714,1400,2.24,1.8,3.84,E,1,H,80,V,25,27,33,37,0,0,32,48,0,0,0,0,0,0,0,0,2016042720
2016042715,1500,3.1,2.12,5.36,E,1,H,80,V,28,33,38,45,67,32,8,10,0,0,0,0,0,0,0,0,2016042721
2016042716,1600,0.4,0.44,1.2,E,1,H,80,V,5,4,15,15,1,2,0,0,0,0,0,0,0,0,0,0,2016042722
2016042717,1700,0.12,0.98,0.32,E,1,H,80,V,0,0,8,2,0,0,41,4,0,0,0,0,0,0,0,0,2016042723
2016042718,1800,3.18,2.74,8.08,E,1,H,80,V,43,52,23,4,2,10,61,101,0,0,0,0,0,0,0,0,2016042800
2016042719,1900,6.94,4.42,9.28,E,1,H,80,V,68,112,41,69,50,37,75,116,0,0,0,0,0,0,0,0,2016042801
2016042720,2000,12.92,5.06,15.36,E,1,H,80,V,52,153,76,192,156,79,46,145,0,0,0,0,0,0,0,0,2016042802
2016042721,2100,11.28,2.74,14.08,E,1,H,80,V,35,142,34,159,176,52,16,87,0,0,0,0,0,0,0,0,2016042803
2016042722,2200,4.32,1.18,11.36,E,1,H,80,V,3,11,12,48,142,38,6,15,0,0,0,0,0,0,0,0,2016042804
2016042614,1400,1.62,2.1,2.48,E,1,H,80,V,2,1,32,19,31,41,30,30,0,0,0,0,0,0,0,0,2016042620
2016042615,1500,0.56,1.02,1.36,E,1,H,80,V,20,17,0,0,5,15,16,6,0,0,0,0,0,0,0,0,2016042621
2016042616,1600,2.5,1.78,5.2,E,1,H,80,V,33,55,0,0,5,11,45,65,0,0,0,0,0,0,0,0,2016042622
2016042617,1700,7.52,3.98,12.32,E,1,H,80,V,53,121,41,50,51,41,64,154,0,0,0,0,0,0,0,0,2016042623
2016042618,1800,11.8,4.46,14.8,E,1,H,80,V,62,164,43,105,136,61,57,185,0,0,0,0,0,0,0,0,2016042700
2016042619,1900,13.48,3.94,16.08,E,1,H,80,V,61,201,38,153,123,40,58,197,0,0,0,0,0,0,0,0,2016042701
2016042620,2000,12.56,3.64,14.56,E,1,H,80,V,48,182,43,171,122,43,48,153,0,0,0,0,0,0,0,0,2016042702
